프로골퍼	프로/NNG + 골퍼/NNG
4라운드	4/SN + 라운드/NNG
경기.	경기/NNG + ./SF

모비스는	모비스/NNP + 는/JX
전반	전반/NNG
종료	종료/NNG
3분여	3/SN + 분/NNB + 이/VCP + 어/EC
전까지는	전/NNG + 까지/JX + 는/JX
삼성의	삼성/NNP + 의/JKG
일방적인	일방/NNG + 적/XSN + 이/VCP + ㄴ/ETM
페이스에	페이스/NNG + 에/JKB
몰렸다.	몰리/VV + 었/EP + 다/EF + ./SF

서장훈(23점)과	서장훈/NNP + (/SS + 23/SN + 점/NNB + )/SS + 과/JC
김희선(21점)을	김희선/NNP + (/SS + 21/SN + 점/NNB + )/SS + 을/JKO
막지	막/VV + 지/EC
못하며	못하/VX + 며/EC
27-49,	27/SN + -/SS + 49/SN + ,/SP
22점차까지	22/SN + 점/NNB + 차/NNG + 까지/JX
뒤졌다.	뒤지/VV + 었/EP + 다/EF + ./SF

이날	이날/NNG
지면	지/VV + 면/EC
7위로	7/SN + 위/NNB + 로/JKB
추락할	추락/NNG + 하/XSV + ㄹ/ETM
위기였던	위기/NNG + 이/VCP + 었/EP + 던/ETM
모비스	모비스/NNP
최희암	최희암/NNP
감독의	감독/NNG + 의/JKG
표정도	표정/NNG + 도/JX
잔뜩	잔뜩/MAG
굳어있었다.	굳/VA + 어/EC + 있/VX + 었/EP + 다/EF + ./SF

하지만	하지만/MAJ
그때부터	그때/NNG + 부터/JX
3쿼터	3/SN + 쿼터/NNG
3분여까지	3/SN + 분/NNB + 여/XSN + 까지/JX
우지원이	우지원/NNP + 이/JKS
4개의	4/SN + 개/NNB + 의/JKG
3점포를	3/SN + 점/NNB + 포/NNG + 를/JKO
터뜨렸다.	터뜨리/VV + 었/EP + 다/EF + ./SF

곧이어	곧이어/MAG
전형수의	전형수/NNP + 의/JKG
레이업슛으로	레이업/NNG + 슛/NNG + 으로/JKB
순식간에	순식간/NNG + 에/JKB
52-54까지	52/SN + -/SS + 54/SN + 까지/JX
추격했다.	추격/NNG + 하/XSV + 았/EP + 다/EF + ./SF

곧이어	곧이어/MAG
삼성의	삼성/NNP + 의/JKG
김희선이	김희선/NNP + 이/JKS
3점슛을	3/SN + 점/NNB + 슛/NNG + 을/JKO
터뜨렸지만	터뜨리/VV + 었/EP + 지만/EC
한번	한번/NNG
살아난	살아나/VV + ㄴ/ETM
모비스의	모비스/NNP + 의/JKG
상승세를	상승세/NNG + 를/JKO
꺾기엔	꺾/VV + 기/ETN + 에/JKB + ㄴ/JX
무리였다.	무리/NNG + 이/VCP + 었/EP + 다/EF + ./SF

우지원의	우지원/NNP + 의/JKG
3점포가	3/SN + 점포/NNG + 가/JKS
잠시	잠시/MAG
침묵하자	침묵/NNG + 하/XSV + 자/EC
이번엔	이번/NNG + 에/JKB + ㄴ/JX
'파랑새	'/SS + 파랑새/NNG
슈터'	슈터/NNG + '/SS
정인교가	정인교/NNP + 가/JKS
3쿼터	3/SN + 쿼터/NNG
종료	종료/NNG
2분	2/SN + 분/NNB
59초	59/SN + 초/NNB
전	전/NNG
3점슛을	3/SN + 점/NNB + 슛/NNG + 을/JKO
터뜨려	터뜨리/VV + 어/EC
62-61로	62/SN + -/SS + 61/SN + 로/JKB
역전시켰다.	역전/NNG + 시키/XSV + 었/EP + 다/EF + ./SF

이어	이어/MAG
엎치락뒤치락	엎치락뒤치락/MAG
접전을	접전/NNG + 을/JKO
잠시	잠시/MAG
벌였으나	벌이/VV + 었/EP + 으나/EC
우지원이	우지원/NNP + 이/JKS
3쿼터	3/SN + 쿼터/NNG
막판	막판/NNG
연거푸	연거푸/MAG
골밑슛을	골/NNG + 밑/NNG + 슛/NNG + 을/JKO
성공시키면서	성공/NNG + 시키/XSV + 면서/EC
모비스는	모비스/NNP + 는/JX
3쿼터에	3/SN + 쿼터/NNG + 에/JKB
70-65로	70/SN + -/SS + 65/SN + 로/JKB
앞서나갔다.	앞서/VV + 어/EC + 나가/VX + 았/EP + 다/EF + ./SF

모비스는	모비스/NNP + 는/JX
4쿼터	4/SN + 쿼터/NNG
들어	들/VV + 어/EC
에드워즈와	에드워즈/NNP + 와/JC
전형수의	전형수/NNP + 의/JKG
득점으로	득점/NNG + 으로/JKB
서서히	서서히/MAG
점수차를	점수/NNG + 차/NNG + 를/JKO
늘려갔고,	늘리/VV + 어/EC + 가/VX + 았/EP + 고/EC + ,/SP
종료	종료/NNG
3분38초와	3/SN + 분/NNB + 38/SN + 초/NNB + 와/JC
3분14초	3/SN + 분/NNB + 14/SN + 초/NNB
전	전/NNG
정인교와	정인교/NNP + 와/JC
우지원의	우지원/NNP + 의/JKG
3점포로	3/SN + 점/NNB + 포/NNG + 로/JKB
84-72로	84/SN + -/SS + 72/SN + 로/JKB
달아나며	달아나/VV + 며/EC
승부를	승부/NNG + 를/JKO
결정지었다.	결정짓/VV + 었/EP + 다/EF + ./SF

86대76으로	86/SN + 대/NNB + 76/SN + 으로/JKB
승리한	승리/NNG + 하/XSV + ㄴ/ETM
모비스는	모비스/NNP + 는/JX
3연패	3/SN + 연패/NNG
탈출과	탈출/NNG + 과/JKB
함께	함께/MAG
단독	단독/NNG
6위가	6/SN + 위/NNB + 가/JKC
됐다.	되/VV + 었/EP + 다/EC

우지원은	우지원/NNP + 은/JX
3점슛	3/SN + 점/NNB + 슛/NNG
9개	9/SN + 개/NNB
중	중/NNB
6개를	6/SN + 개/NNB + 를/JKO
터뜨리며	터뜨리/VV + 며/EC
27득점했다.	27/SN + 득점/NNG + 하/XSV + 았/EP + 다/EF + ./SF

이전	이전/NNG
경기까지	경기/NNG + 까지/JX
3점슛	3/SN + 점/NNB + 슛/NNG
7개를	7/SN + 개/NNB + 를/JKO
쏴	쏘/VV + 아/EC
단	단/MM
한	한/MM
개도	개/NNG + 도/JX
성공시키지	성공/NNG + 시키/XSV + 지/EC
못했던	못하/VX + 았/EP + 던/ETM
정인교는	정인교/NNP + 는/JX
이날	이날/NNG
첫	첫/MM
3점슛은	3/SN + 점/NNB + 슛/NNG + 은/JX
실패했지만	실패/NNG + 하/XSV + 았/EP + 지만/EC
나머지	나머지/NNG
두	두/MM
개를	개/NNB + 를/JKO
중요한	중요/NNG + 하/XSA + ㄴ/ETM
순간에	순간/NNG + 에/JKB
적중시켜	적중/NNG + 시키/XSV + 어/EC
승리의	승리/NNG + 의/JKG
밑거름	밑거름/NNG
역할을	역할/NNG + 을/JKO
했다.	하/VV + 았/EP + 다/EF + ./SF

프로골퍼	프로/NNG + 골퍼/NNG
최경주(33·사진)의	최경주/NNP + (/SS + 33/SN + ·/SP + 사진/NNG + )/SS + 의/JKG
세계	세계/NNG
랭킹이	랭킹/NNG + 이/JKS
아시아권	아시아/NNP + 권/XSN
선수로는	선수/NNG + 로/JKB + 는/JX
가장	가장/MAG
높은	높/VA + 은/ETM
29위로,	29/SN + 위/NNB + 로/JKB + ,/SP
연말	연말/NNG
랭킹보다	랭킹/NNG + 보다/JKB
12계단	12/SN + 계단/NNG
수직상승했다.	수직/NNG + 상승/NNG + 하/XSV + 았/EP + 다/EF + ./SF

14일(한국시각)	14/SN + 일/NNB + (/SS + 한국/NNP + 시각/NNG + )/SS
발표된	발표/NNG + 되/XSV + ㄴ/ETM
주간	주간/NNG
세계랭킹에서	세계/NNG + 랭킹/NNG + 에서/JKB
최경주는	최경주/NNP + 는/JX
미국PGA투어	미국/NNP + PGA/SL + 투어/NNG
시즌	시즌/NNG
개막전인	개막전/NNG + 이/VCP + ㄴ/ETM
메르세데스챔피언십	메르세데스/NNP + 챔피언십/NNG
준우승에	준/XPN + 우승/NNG + 에/JKB
힘입어	힘입/VV + 어/EC
41위에서	41/SN + 위/NNB + 에서/JKB
29위로	29/SN + 위/NNB + 로/JKB
치솟았다.	치솟/VV + 았/EP + 다/EF + ./SF

30위권에	30/SN + 위/NNB + 권/XSN + 에/JKB
들어간	들어가/VV + ㄴ/ETM
것은	것/NNB + 은/JX
한국인으로서는	한국인/NNG + 으로서/JKB + 는/JX
역대	역대/NNG
최고이며,	최고/NNG + 이/VCP + 며/EC + ,/SP
아시아권에서도	아시아/NNP + 권/XSN + 에서/JKB + 도/JX
마루야마	마루야마/NNP
시게키(34·일본)의	시게키/NNP + (/SS + 34/SN + ·/SP + 일본/NNP + )/SS + 의/JKG
30위보다	30/SN + 위/NNB + 보다/JKB
한	한/MM
순위	순위/NNG
앞섰다.	앞서/VV + 었/EP + 다/EF + ./SF

최경주는	최경주/NNP + 는/JX
또	또/MAG
오는	오/VV + 는/ETM
11월	11/SN + 월/NNB
남아프리카공화국에서	남아프리카공화국/NNP + 에서/JKB
열리는	열리/VV + 는/ETM
프레지던트컵의	프레지던트/NNG + 컵/NNG + 의/JKG
인터내셔널	인터내셔널/NNG
선수	선수/NNG
포인트랭킹도	포인트/NNG + 랭킹/NNG + 도/JX
13위에서	13/SN + 위/NNB + 에서/JKB
9위로	9/SN + 위/NNB + 로/JKB
상승,	상승/NNG + ,/SP
한국선수로는	한국/NNP + 선수/NNG + 로/JKB + 는/JX
처음으로	처음/NNG + 으로/JKB
선발될	선발/NNG + 되/XSV + ㄹ/ETM
가능성이	가능/NNG + 성/XSN + 이/JKS
높아졌다.	높/VA + 아/EC + 지/VX + 었/EP + 다/EF + ./SF

한편	한편/MAG
지난	지나/VV + ㄴ/ETM
연말	연말/NNG
랭킹	랭킹/NNG
3위였던	3/SN + 위/NNB + 이/VCP + 었/EP + 던/ETM
어니	어니/NNP
엘스(34)는	엘스/NNP + (/SS + 34/SN + )/SS + 는/JX
메르세데스챔피언십	메르세데스/NNP + 챔피언십/NNG
정상에	정상/NNG + 에/JKB
오르면서	오르/VV + 면서/EC
필	필/NNP
미켈슨(33)을	미켈슨/NNP + (/SS + 33/SN + )/SS + 을/JKO
제치고	제치/VV + 고/EC
세계랭킹	세계/NNG + 랭킹/NNG
2위로	2/SN + 위/NNB + 로/JKB
올라섰다.	올라서/VV + 었/EP + 다/EF + ./SF

삼성생명은	삼성생명/NNP + 은/JX
대비하고	대비/NNG + 하/XSV + 고/EC
있었다.	있/VX + 었/EP + 다/EF + ./SF

종료	종료/NNG
2분여를	2/SN + 분/NNB + 여/XSN + 를/JKO
남기고	남기/VV + 고/EC
75-75	75/SN + -/SS + 75/SN
동점인	동점/NNG + 이/VCP + ㄴ/ETM
상황에서	상황/NNG + 에서/JKB
금호생명이	금호생명/NNP + 이/JKS
선택할	선택/NNG + 하/XSV + ㄹ/ETM
가장	가장/MAG
확실한	확실/XR + 하/XSA + ㄴ/ETM
공격	공격/NNG
카드는	카드/NNG + 는/JX
하나였기	하나/NR + 이/VCP + 었/EP + 기/ETN
때문.	때문/NNB + ./SF

삼성생명은	삼성생명/NNP + 은/JX
상대의	상대/NNG + 의/JKG
대어급	대어/NNG + 급/NNG
신인	신인/NNG
곽주영(18·삼천포여고	곽주영/NNP + (/SS + 18/SN + ·/SP + 삼천포여고/NNP
졸업예정)이	졸업/NNG + 예정/NNG + )/SS + 이/JKS
골밑으로	골/NNG + 밑/NNG + 으로/JKB
밀고	밀/VV + 고/EC
들어올	들어오/VV + ㄹ/ETM
때마다	때/NNG + 마다/JX
겹수비로	겹/NNG + 수비/NNG + 로/JKB
막았다.	막/VV + 았/EP + 다/EF + ./SF

이젠	이제/NNG + ㄴ/JX
반격할	반격/NNG + 하/XSV + ㄹ/ETM
차례.	차례/NNG + ./SF

변연하(11점	변연하/NNP + (/SS + 11/SN + 점/NNB
6리바운드)가	6/SN + 리바운드/NNG + )/SS + 가/JKS
종료	종료/NNG
1분13초	1/SN + 분/NNB + 13/SN + 초/NNB
전	전/NNG
골밑을	골/NNG + 밑/NNG + 을/JKO
날렵하게	날렵/XR + 하/XSA + 게/EC
파고들어	파고들/VV + 어/EC
2점을	2/SN + 점/NNB + 을/JKO
추가했고,	추가/NNG + 하/XSV + 았/EP + 고/EC + ,/SP
이미선(9점)이	이미선/NNP + (/SS + 9/SN + 점/NNB + )/SS + 이/JKS
종료	종료/NNG
5.3초	5/SN + ./SP + 3/SN + 초/NNB
전	전/NNG
마무리골을	마무리/NNG + 골/NNG + 을/JKO
넣었다.	넣/VV + 었/EP + 다/EF + ./SF

삼성생명은	삼성생명/NNP + 은/JX
14일	14/SN + 일/NNB
장충체육관에서	장충체육관/NNP + 에서/JKB
계속된	계속/NNG + 되/XSV + ㄴ/ETM
우리금융그룹배	우리금융/NNP + 그룹/NNG + 배/NNG
2003	2003/SN
여자	여자/NNG
프로농구	프로/NNG + 농구/NNG
겨울리그	겨울/NNG + 리그/NNG
경기서	경기/NNG + 서/JKB
금호생명을	금호생명/NNP + 을/JKO
79대75로	79/SN + 대/NNB + 75/SN + 로/JKB
물리치고	물리치/VV + 고/EC
3승1패를	3/SN + 승/NNB + 1/SN + 패/NNB + 를/JKO
기록,	기록/NNG + ,/SP
단독	단독/NNG
2위가	2/SN + 위/NNB + 가/JKC
됐다.	되/VV + 었/EP + 다/EC

금호생명은	금호생명/NNP + 은/JX
개막	개막/NNG
4연패의	4/SN + 연패/NNG + 의/JKG
부진에	부진/NNG + 에/JKB
빠지며	빠지/VV + 며/EC
최하위.	최/XPN + 하위/NNG + ./SF

삼성생명은	삼성생명/NNP + 은/JX
전반까지	전반/NNG + 까지/JX
김계령(14점	김계령/NNP + (/SS + 14/SN + 점/NNB
8리바운드)과	8/SN + 리바운드/NNG + )/SS + 과/JC
박정은(14점),	박정은/NNP + (/SS + 14/SN + 점/NNB + )/SS + ,/SP
실비아	실비아/NNP
크롤리(11점)를	크롤리/NNP + (/SS + 11/SN + 점/NNB + )/SS + 를/JKO
앞세워	앞세우/VV + 어/EC
54-40으로	54/SN + -/SS + 40/SN + 으로/JKB
달아났다.	달아나/VV + 았/EP + 다/EF + ./SF

리바운드와	리바운드/NNG + 와/JC
개인기,	개인기/NNG + ,/SP
스피드가	스피드/NNG + 가/JKS
한	한/MM
수	수/NNG
위였다.	위/NNG + 이/VCP + 었/EP + 다/EF + ./SF

그런데	그런데/MAJ
3쿼터	3/SN + 쿼터/NNG
4분쯤	4/SN + 분/NNB + 쯤/XSN
김계령이	김계령/NNP + 이/JKS
5반칙으로	5/SN + 반칙/NNG + 으로/JKB
물러나면서	물러나/VV + 면서/EC
갑자기	갑자기/MAG
불안해졌다.	불안/NNG + 하/XSA + 아/EC + 지/VX + 었/EP + 다/EF + ./SF

삼성생명은	삼성생명/NNP + 은/JX
이후	이후/NNG
금호생명의	금호생명/NNP + 의/JKG
곽주영(18점	곽주영/NNP + (/SS + 18/SN + 점/NNB
7리바운드)과	7/SN + 리바운드/NNG + )/SS + 과/JC
한현선(10점	한현선/NNP + (/SS + 10/SN + 점/NNB
7리바운드),	7/SN + 리바운드/NNG + )/SS + ,/SP
티파니	티파니/NNP
존슨(12점	존슨/NNP + (/SS + 12/SN + 점/NNB
15리바운드)에게	15/SN + 리바운드/NNG + )/SS + 에게/JKB
밀려	밀리/VV + 어/EC
66-64까지	66/SN + -/SS + 64/SN + 까지/JX
쫓겼다.	쫓기/VV + 었/EP + 다/EF + ./SF

4쿼터	4/SN + 쿼터/NNG
후반엔	후반/NNG + 에/JKB + ㄴ/JX
오히려	오히려/MAG
72-75로	72/SN + -/SS + 75/SN + 로/JKB
뒤졌다.	뒤지/VV + 었/EP + 다/EF + ./SF

하지만	하지만/MAJ
이후	이후/NNG
실비아	실비아/NNP
크롤리의	크롤리/NNP + 의/JKG
자유투	자유투/NNG
하나와	하나/NR + 와/JC
박정은의	박정은/NNP + 의/JKG
야투로	야투/NNG + 로/JKB
동점을	동점/NNG + 을/JKO
만들고,	만들/VV + 고/EC + ,/SP
끈끈한	끈끈/XR + 하/XSA + ㄴ/ETM
수비	수비/NNG
집중력을	집중력/NNG + 을/JKO
발휘해	발휘/NNG + 하/XSV + 아/EC
놓칠	놓치/VV + ㄹ/ETM
뻔한	뻔/NNB + 하/XSA + ㄴ/ETM
경기를	경기/NNG + 를/JKO
승리로	승리/NNG + 로/JKB
이끌었다.	이끌/VV + 었/EP + 다/EF + ./SF

이어	이어/MAG
열린	열리/VV + ㄴ/ETM
경기선	경기/NNG + 서/JKB + ㄴ/JX
현대가	현대/NNP + 가/JKS
국민은행을	국민은행/NNP + 을/JKO
98대85로	98/SN + 대/NNB + 85/SN + 로/JKB
완파했다.	완파/NNG + 하/XSV + 았/EP + 다/EF + ./SF

나키아	나키아/NNP
샌포드(23점	샌포드/NNP + (/SS + 23/SN + 점/NNB
12리바운드)가	12/SN + 리바운드/NNG + )/SS + 가/JKS
미	미/NNP
여자프로농구(WNBA)	여자/NNG + 프로/NNG + 농구/NNG + (/SS + WNBA/SL + )/SS
득점왕	득점왕/NNG
출신인	출신/NNG + 이/VCP + ㄴ/ETM
상대팀	상대/NNG + 팀/NNG
샤미크	샤미크/NNP
홀즈클로(23점	홀즈클로/NNP + (/SS + 23/SN + 점/NNB
11리바운드)와	11/SN + 리바운드/NNG + )/SS + 와/JKB
대등한	대등/NNG + 하/XSA + ㄴ/ETM
플레이를	플레이/NNG + 를/JKO
했고,	하/VV + 았/EP + 고/EC + ,/SP
김영옥(26점)과	김영옥/NNP + (/SS + 26/SN + 점/NNB + )/SS + 과/JC
전주원(16점)이	전주원/NNP + (/SS + 16/SN + 점/NNB + )/SS + 이/JKS
활약했다.	활약/NNG + 하/XSV + 았/EP + 다/EF + ./SF

북한이	북한/NNP + 이/JKS
다음달	다음/NNG + 달/NNG
1일	1/SN + 일/NNB
아오모리(靑森)에서	아오모리/NNP + (/SS + 靑森/SH + )/SS + 에서/JKB
열리는	열리/VV + 는/ETM
2003년	2003/SN + 년/NNB
동계	동계/NNG
아시안게임에	아시안/NNG + 게임/NNG + 에/JKB
51명의	51/SN + 명/NNB + 의/JKG
선수단을	선수단/NNG + 을/JKO
파견할	파견/NNG + 하/XSV + ㄹ/ETM
것이라고	것/NNB + 이/VCP + 라고/EC
대회	대회/NNG
조직위	조직위/NNG
관계자가	관계자/NNG + 가/JKS
14일	14/SN + 일/NNB
밝혔다.	밝히/VV + 었/EP + 다/EF + ./SF

북한올림픽위원회(NOC)가	북한올림픽위원회/NNP + (/SS + NOC/SL + )/SS + 가/JKS
지난	지나/VV + ㄴ/ETM
13일	13/SN + 일/NNB
밤	밤/NNG
대회	대회/NNG
조직위에	조직위/NNG + 에/JKB
팩스를	팩스/NNG + 를/JKO
통해	통하/VV + 아/EC
보낸	보내/VV + ㄴ/ETM
선수단	선수단/NNG
명단에	명단/NNG + 에/JKB
따르면	따르/VV + 면/EC
북한은	북한/NNP + 은/JX
이번	이번/NNG
대회에서	대회/NNG + 에서/JKB
쇼트트랙과	쇼트/NNG + 트랙/NNG + 과/JC
피겨스케이팅,	피겨/NNG + 스케이팅/NNG + ,/SP
아이스하키	아이스하키/NNG
등의	등/NNB + 의/JKG
종목에	종목/NNG + 에/JKB
참가할	참가/NNG + 하/XSV + ㄹ/ETM
예정이다.	예정/NNG + 이/VCP + 다/EF + ./SF

북한은	북한/NNP + 은/JX
최종	최종/NNG
엔트리	엔트리/NNG
제출	제출/NNG
마감	마감/NNG
시한인	시한/NNG + 이/VCP + ㄴ/ETM
작년	작년/NNG
말까지	말/NNB + 까지/JX
아무런	아무런/MM
연락	연락/NNG
없이	없이/MAG
참가	참가/NNG
선수	선수/NNG
명단을	명단/NNG + 을/JKO
제출하지	제출/NNG + 하/XSV + 지/EC
않아	않/VX + 아/EC
출전	출전/NNG
여부에	여부/NNG + 에/JKB
관심이	관심/NNG + 이/JKS
쏠려왔다.	쏠리/VV + 어/EC + 오/VX + 았/EP + 다/EF + ./SF

올	올/MM
시즌	시즌/NNG
프로야구는	프로/NNG + 야구/NNG + 는/JX
시간제한	시간제한/NNG
무승부가	무/XPN + 승부/NNG + 가/JKS
사라질	사라지/VV + ㄹ/ETM
전망이다.	전망/NNG + 이/VCP + 다/EF + ./SF

8개	8/SN + 개/NNB
구단	구단/NNG
감독들은	감독/NNG + 들/XSN + 은/JX
14일	14/SN + 일/NNB
한국야구위원회(KBO)	한국야구위원회/NNP + (/SS + KBO/SL + )/SS
박용오	박용오/NNP
총재와	총재/NNG + 와/JC
간담회를	간담회/NNG + 를/JKO
갖고	갖/VV + 고/EC
현행	현행/NNG
밤	밤/NNG
10시30분	10/SN + 시/NNB + 30/SN + 분/NNB
새로운	새롭/VA + ㄴ/ETM
이닝에	이닝/NNG + 에/JKB
들어갈	들어가/VV + ㄹ/ETM
수	수/NNB
없도록	없/VA + 도록/EC
한	한/MM
연장전	연장전/NNG
규정을	규정/NNG + 을/JKO
시간제한	시간제한/NNG
없이	없이/MAG
12회	12/SN + 회/NNB
연장전까지	연장전/NNG + 까지/JX
치를	치르/VV + ㄹ/ETM
것을	것/NNB + 을/JKO
건의했다.	건의/NNG + 하/XSV + 았/EP + 다/EF + ./SF

이	이/MM
방안은	방안/NNG + 은/JX
지난	지나/VV + ㄴ/ETM
연말	연말/NNG
프로야구	프로/NNG + 야구/NNG
윈터미팅에서도	윈터/NNG + 미팅/NNG + 에서/JKB + 도/JX
제안됐으며,	제안/NNG + 되/XSV + 었/EP + 으며/EC + ,/SP
다음달	다음/NNG + 달/NNG
열리는	열리/VV + 는/ETM
이사회를	이사회/NNG + 를/JKO
거쳐	거치/VV + 어/EC
최종	최종/NNG
확정된다.	확정/NNG + 되/XSV + ㄴ다/EF + ./SF

8개	8/SN + 개/NNB
구단	구단/NNG
감독들은	감독/NNG + 들/XSN + 은/JX
또	또/MAG
현행	현행/NNG
승률에	승/NNG + 률/XSN + 에/JKB
따른	따르/VV + ㄴ/ETM
순위	순위/NNG
결정을	결정/NNG + 을/JKO
다승	다승/NNG
순으로	순/NNG + 으로/JKB
바꿀	바꾸/VV + ㄹ/ETM
것을	것/NNB + 을/JKO
건의했으며,	건의/NNG + 하/XSV + 았/EP + 으며/EC + ,/SP
KBO가	KBO/SL + 가/JKS
야구	야구/NNG
저변	저변/NNG
확대를	확대/NNG + 를/JKO
위해	위하/VV + 아/EC
제주도에	제주도/NNP + 에/JKB
리틀야구장을	리틀/NNG + 야구장/NNG + 을/JKO
건설해	건설/NNG + 하/XSV + 아/EC
줄	주/VX + ㄹ/ETM
것을	것/NNB + 을/JKO
요청했다.	요청/NNG + 하/XSV + 았/EP + 다/EF + ./SF

2003프로야구	2003/SN + 프로/NNG + 야구/NNG
시범경기가	시범/NNG + 경기/NNG + 가/JKS
오는	오/VV + 는/ETM
3월	3/SN + 월/NNB
15일	15/SN + 일/NNB
롯데-LG(사직),	롯데/NNP + -/SS + LG/SL + (/SS + 사직/NNP + )/SS + ,/SP
삼성-기아(대구),	삼성/NNP + -/SS + 기아/NNP + (/SS + 대구/NNP + )/SS + ,/SP
한화-두산(대전),	한화/NNP + -/SS + 두산/NNP + (/SS + 대전/NNP + )/SS + ,/SP
SK-현대(문학)의	SK/SL + -/SS + 현대/NNP + (/SS + 문학/NNP + )/SS + 의/JKG
경기를	경기/NNG + 를/JKO
시작으로	시작/NNG + 으로/JKB
개막돼	개막/NNG + 되/XSV + 어/EC
팀당	팀/NNG + 당/XSN
14경기(팀	14/SN + 경기/NNG + (/SS + 팀/NNG
간	가/VV + ㄴ/ETM
2차전),	2/SN + 차/NNB + 전/NNG + )/SS + ,/SP
총	총/MM
36경기가	36/SN + 경기/NNG + 가/JKS
3월	3/SN + 월/NNB
30일까지	30/SN + 일/NNB + 까지/JX
열린다.	열리/VV + ㄴ다/EF + ./SF

오후	오후/NNG
1시부터	1/SN + 시/NNB + 부터/JX
시작하는	시작/NNG + 하/XSV + 는/ETM
시범경기	시범/NNG + 경기/NNG
입장은	입장/NNG + 은/JX
무료다.	무료/NNG + 이/VCP + 다/EF + ./SF

네덜란드	네덜란드/NNP
PSV아인트호벤으로	PSV/SL + 아인트호벤/NNP + 으로/JKB
이적한	이적/NNG + 하/XSV + ㄴ/ETM
'월드컵	'/SS + 월드컵/NNG
듀오'	듀오/NNG + '/SS
이영표와	이영표/NNP + 와/JC
박지성이	박지성/NNP + 이/JKS
유럽무대	유럽/NNP + 무대/NNG
깜짝	깜짝/MAG
데뷔전을	데뷔전/NNG + 을/JKO
치렀다.	치르/VV + 었/EP + 다/EF + ./SF

이영표는	이영표/NNP + 는/JX
14일	14/SN + 일/NNB
터키	터키/NNP
안탈리아에서	안탈리아/NNP + 에서/JKB
열린	열리/VV + ㄴ/ETM
에펠스	에펠스/NNP
필센컵	필센/NNP + 컵/NNG
베르더	베르더/NNP
브레멘(독일)과의	브레멘/NNP + (/SS + 독일/NNP + )/SS + 과/JKB + 의/JKG
경기에	경기/NNG + 에/JKB
스타팅으로	스타팅/NNG + 으로/JKB
출전,	출전/NNG + ,/SP
전·후반	전/NNG + ·/SP + 후반/NNG
90분을	90/SN + 분/NNB + 을/JKO
소화하며	소화/NNG + 하/XSV + 며/EC
1골을	1/SN + 골/NNG + 을/JKO
어시스트해	어시스트/NNG + 하/XSV + 아/EC
화려하게	화려/XR + 하/XSA + 게/EC
데뷔했다.	데뷔/NNG + 하/XSV + 았/EP + 다/EF + ./SF

자신의	자신/NNG + 의/JKG
원래	원래/NNG
포지션인	포지션/NNG + 이/VCP + ㄴ/ETM
왼쪽	왼쪽/NNG
윙백으로	윙백/NNG + 으로/JKB
나선	나서/VV + ㄴ/ETM
이영표는	이영표/NNP + 는/JX
0-2로	0/SN + -/SS + 2/SN + 로/JKB
뒤지던	뒤지/VV + 던/ETM
후반,	후반/NNG + ,/SP
13분	13/SN + 분/NNB
로벤의	로벤/NNP + 의/JKG
첫	첫/MM
골을	골/NNG + 을/JKO
어시스트했고	어시스트/NNG + 하/XSV + 았/EP + 고/EC
후반	후반/NNG
30분에는	30/SN + 분/NNB + 에/JKB + 는/JX
동점골로	동점/NNG + 골/NNG + 로/JKB
연결되는	연결/NNG + 되/XSV + 는/ETM
결정적	결정/NNG + 적/XSN
프리킥까지	프리/NNG + 킥/NNG + 까지/JX
유도해	유도/NNG + 하/XSV + 아/EC
내는	내/VX + 는/ETM
100점짜리	100/SN + 점/NNB + 짜리/XSN
활약을	활약/NNG + 을/JKO
했다.	하/VV + 았/EP + 다/EF + ./SF

지난	지나/VV + ㄴ/ETM
10일	10/SN + 일/NNB
팀훈련에	팀/NNG + 훈련/NNG + 에/JKB
합류한	합류/NNG + 하/XSV + ㄴ/ETM
지	지/NNB
불과	불과/MAG
4일	4/SN + 일/NNB
만에	만/NNB + 에/JKB
투입된	투입/NNG + 되/XSV + ㄴ/ETM
이영표는	이영표/NNP + 는/JX
전반에는	전반/NNG + 에/JKB + 는/JX
긴장한	긴장/NNG + 하/XSV + ㄴ/ETM
듯	듯/NNB
상대	상대/NNG
공격수에게	공격수/NNG + 에게/JKB
자주	자주/MAG
돌파를	돌파/NNG + 를/JKO
허용했다.	허용/NNG + 하/XSV + 았/EP + 다/EF + ./SF

그러나	그러나/MAJ
후반	후반/NNG
들어서	들/VV + 어서/EC
활발한	활발/XR + 하/XSA + ㄴ/ETM
오버래핑으로	오버래핑/NNG + 으로/JKB
공격에	공격/NNG + 에/JKB
적극	적극/NNG
가담했고	가담/NNG + 하/XSV + 았/EP + 고/EC
동료	동료/NNG
수비수가	수비수/NNG + 가/JKS
퇴장당한	퇴장/NNG + 당하/XSV + ㄴ/ETM
