러시아의	러시아/NNP + 의/JKG
뉴턴의	뉴턴/NNP + 의/JKG
만유인력,	만유인력/NNG + ,/SP
현대	현대/NNG
문명에	문명/NNG + 에/JKB
가장	가장/MAG
많이	많이/MAG
응용되는	응용/NNG + 되/XSV + 는/ETM
전자기력,	전자기력/NNG + ,/SP
원자핵을	원자핵/NNG + 을/JKO
만드는	만들/VV + 는/ETM
강력,	강력/XR + ,/SP
물질의	물질/NNG + 의/JKG
붕괴를	붕괴/NNG + 를/JKO
설명하는	설명/NNG + 하/XSV + 는/ETM
약력	약력/NNG
등이	등/NNB + 이/JKS
그것이다.	그것/NP + 이/VCP + 다/EF + ./SF

이	이/MM
4	4/SN
개의	개/NNB + 의/JKG
힘들은	힘/NNG + 들/XSN + 은/JX
겉으로는	겉/NNG + 으로/JKB + 는/JX
완전히	완전히/MAG
다른	다르/VA + ㄴ/ETM
것으로	것/NNB + 으로/JKB
보인다.	보이/VV + ㄴ다/EF + ./SF

그러나	그러나/MAJ
현대물리학자들은	현대/NNG + 물리학자/NNG + 들/XSN + 은/JX
하나의	하나/NR + 의/JKG
통일된	통일/NNG + 되/XSV + ㄴ/ETM
대상으로	대상/NNG + 으로/JKB
설명될	설명/NNG + 되/XSV + ㄹ/ETM
수	수/NNB
있다고	있/VV + 다고/EC
믿고	믿/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

그	그/MM
이유는	이유/NNG + 는/JX
조물주(만일	조물주/NNG + (/SS + 만일/NNG
조물주가	조물주/NNG + 가/JKS
있다면)는	있/VV + 다면/EC + )/SS + 는/JX
여러	여러/MM
개의	개/NNB + 의/JKG
이론이	이론/NNG + 이/JKC
아니라	아니/VCN + 라/EC
단지	단지/MAG
하나의	하나/NR + 의/JKG
이론,	이론/NNG + ,/SP
즉	즉/MAG
하나의	하나/NR + 의/JKG
마스터플랜으로	마스터/NNG + 플랜/NNG + 으로/JKB
이	이/MM
우주를	우주/NNG + 를/JKO
창조했을	창조/NNG + 하/XSV + 았/EP + 을/ETM
것이기	것/NNB + 이/VCP + 기/ETN
때문이다.	때문/NNB + 이/VCP + 다/EF + ./SF

따라서	따라서/MAJ
이런	이런/MM
힘들을	힘/NNG + 들/XSN + 을/JKO
하나의	하나/NR + 의/JKG
이론으로	이론/NNG + 으로/JKB
설명하려는	설명/NNG + 하/XSV + 려는/ETM
이른바	이른바/MAG
통일장이론의	통일/NNG + 장이론/NNG + 의/JKG
완성은	완성/NNG + 은/JX
현대	현대/NNG
이론	이론/NNG
물리학의	물리학/NNG + 의/JKG
궁극적	궁극/NNG + 적/XSN
목표가	목표/NNG + 가/JKC
되고	되/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

그런데	그런데/MAJ
통일장이론에서는	통일/NNG + 장이론/NNG + 에서/JKB + 는/JX
이	이/MM
우주는	우주/NNG + 는/JX
4차원이	4/SN + 차원/NNG + 이/JKC
아닌	아니/VCN + ㄴ/ETM
고차원적	고/XPN + 차원/NNG + 적/XSN
시공으로	시공/NNG + 으로/JKB
되어	되/VV + 어/EC
있다는	있/VX + 다는/ETM
주장이	주장/NNG + 이/JKS
대두되고	대두/NNG + 되/XSV + 고/EC
있다.	있/VX + 다/EF + ./SF

이	이/MM
우주는	우주/NNG + 는/JX
원래	원래/NNG
고차원의	고/XPN + 차원/NNG + 의/JKG
시공으로	시공/NNG + 으로/JKB
되어	되/VV + 어/EC
있었으나	있/VX + 었/EP + 으나/EC
그	그/MM
중의	중/NNB + 의/JKG
일부가	일부/NNG + 가/JKS
수축이	수축/NNG + 이/JKC
되어	되/VV + 어/EC
현재의	현재/NNG + 의/JKG
우주가	우주/NNG + 가/JKS
마치	마치/MAG
4차원	4/SN + 차원/NNG
시공으로	시공/NNG + 으로/JKB
되어	되/VV + 어/EC
있는	있/VX + 는/ETM
것처럼	것/NNB + 처럼/JKB
보인다는	보이/VV + ㄴ다는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

만약	만약/NNG
이	이/MM
주장이	주장/NNG + 이/JKS
사실이라면	사실/NNG + 이/VCP + 라면/EC
우리는	우리/NP + 는/JX
시공	시공/NNG
개념을	개념/NNG + 을/JKO
다시	다시/MAG
한번	한번/NNG
혁명적으로	혁명/NNG + 적/XSN + 으로/JKB
바꾸어야	바꾸/VV + 어야/EC
될	되/VV + ㄹ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

정말	정말/MAG
우리들은	우리/NP + 들/XSN + 은/JX
우물	우물/NNG
속에	속/NNG + 에/JKB
사는	살/VV + 는/ETM
개구리처럼	개구리/NNG + 처럼/JKB
고차원의	고/XPN + 차원/NNG + 의/JKG
시공을	시공/NNG + 을/JKO
인식조차	인식/NNG + 조차/JX
하지	하/VV + 지/EC
못하고	못하/VX + 고/EC
있는	있/VX + 는/ETM
것일까.	것/NNB + 이/VCP + ㄹ까/EF + ./SF

퍽	퍽/MAG
궁금한	궁금/XR + 하/XSA + ㄴ/ETM
일이	일/NNG + 이/JKC
아닐	아니/VCN + ㄹ/ETM
수	수/NNB
없다.	없/VA + 다/EF + ./SF

<조용민>	</SS + 조용민/NNP + >/SS

타임머신을	타임머신/NNG + 을/JKO
이용한	이용/NNG + 하/XSV + ㄴ/ETM
시간여행은	시간/NNG + 여행/NNG + 은/JX
과연	과연/MAG
가능할까.	가능/NNG + 하/XSA + ㄹ까/EF + ./SF

타임머신을	타임머신/NNG + 을/JKO
타고	타/VV + 고/EC
과거와	과거/NNG + 와/JC
미래를	미래/NNG + 를/JKO
자유자재로	자유자재/NNG + 로/JKB
갔다	가/VV + 았/EP + 다/EC
왔다	오/VV + 았/EP + 다/EC
하는	하/VV + 는/ETM
시간여행은	시간/NNG + 여행/NNG + 은/JX
오래	오래/MAG
전부터	전/NNG + 부터/JX
공상	공상/NNG
과학	과학/NNG
소설이나	소설/NNG + 이나/JC
영화의	영화/NNG + 의/JKG
재미있는	재미있/VA + 는/ETM
소재가	소재/NNG + 가/JKC
되고	되/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

그러나	그러나/MAJ
물리학의	물리학/NNG + 의/JKG
세계에서는	세계/NNG + 에서/JKB + 는/JX
오랫동안	오랫동안/NNG
이	이/MM
문제를	문제/NNG + 를/JKO
취급조차	취급/NNG + 조차/JX
하지	하/VV + 지/EC
않아	않/VX + 아/EC
왔다.	오/VX + 았/EP + 다/EF + ./SF

시간여행이	시간/NNG + 여행/NNG + 이/JKS
가능하다면	가능/NNG + 하/XSA + 다면/EC
이	이/MM
세계를	세계/NNG + 를/JKO
존재하게	존재/NNG + 하/XSV + 게/EC
해	하/VX + 아/EC
주는	주/VX + 는/ETM
'인과율'이	'/SS + 인과율/NNG + '/SS + 이/JKS
깨져버리고	깨지/VV + 어/EC + 버리/VX + 고/EC
만다.	말/VX + ㄴ다/EF + ./SF

자연계에	자연/NNG + 계/XSN + 에/JKB
나타나는	나타나/VV + 는/ETM
모든	모든/MM
일은	일/NNG + 은/JX
원인이	원인/NNG + 이/JKS
있기	있/VV + 기/ETN
때문에	때문/NNB + 에/JKB
결과가	결과/NNG + 가/JKS
생긴다.	생기/VV + ㄴ다/EF + ./SF

결과가	결과/NNG + 가/JKS
원인보다	원인/NNG + 보다/JKB
먼저	먼저/MAG
일어날	일어나/VV + ㄹ/ETM
수는	수/NNB + 는/JX
없다.	없/VA + 다/EF + ./SF

타임머신은	타임머신/NNG + 은/JX
이	이/NP
같은	같/VA + 은/ETM
약속을	약속/NNG + 을/JKO
깨뜨릴	깨뜨리/VV + ㄹ/ETM
수	수/NNB
있기	있/VV + 기/ETN
때문에	때문/NNB + 에/JKB
불가능하다는	불/XPN + 가능/NNG + 하/XSA + 다는/ETM
것이	것/NNB + 이/JKS
많은	많/VA + 은/ETM
물리학자들의	물리학자/NNG + 들/XSN + 의/JKG
생각이었다.	생각/NNG + 이/VCP + 었/EP + 다/EF + ./SF

그러나	그러나/MAJ
지난	지나/VV + ㄴ/ETM
88년	88/SN + 년/NNB
미	미/NNP
캘리포니아공대(칼텍)의	캘리포니아공대/NNP + (/SS + 칼텍/NNP + )/SS + 의/JKG
키프	키프/NNP
쏜	쏜/NNP
박사가	박사/NNG + 가/JKS
시간여행이	시간/NNG + 여행/NNG + 이/JKS
가능하다는	가능/NNG + 하/XSA + 다는/ETM
논문을	논문/NNG + 을/JKO
발표한	발표/NNG + 하/XSV + ㄴ/ETM
이래	이래/NNB
물리학	물리학/NNG
분야에서도	분야/NNG + 에서/JKB + 도/JX
타임머신의	타임머신/NNG + 의/JKG
가능성이	가능/NNG + 성/XSN + 이/JKS
진지하게	진지/XR + 하/XSA + 게/EC
검토되고	검토/NNG + 되/XSV + 고/EC
있다.	있/VX + 다/EF + ./SF

쏜	쏜/NNP
박사와	박사/NNG + 와/JKB
시간여행에	시간/NNG + 여행/NNG + 에/JKB
관한	관하/VV + ㄴ/ETM
연구를	연구/NNG + 를/JKO
공동으로	공동/NNG + 으로/JKB
수행하고	수행/NNG + 하/XSV + 고/EC
논문도	논문/NNG + 도/JX
같이	같이/MAG
쓴	쓰/VV + ㄴ/ETM
적이	적/NNB + 이/JKS
있는	있/VV + 는/ETM
김성원	김성원/NNP
교수(38·이화여대	교수/NNG + (/SS + 38/SN + ·/SP + 이화여대/NNP
과학교육과)는	과학/NNG + 교육/NNG + 과/NNG + )/SS + 는/JX
"방법상의	"/SS + 방법/NNG + 상/XSN + 의/JKG
한계가	한계/NNG + 가/JKS
있긴	있/VV + 기/ETN + ㄴ/JX
하지만	하/VX + 지만/EC
상대성	상대/NNG + 성/XSN
이론에	이론/NNG + 에/JKB
따르면	따르/VV + 면/EC
타임머신이	타임머신/NNG + 이/JKS
전혀	전혀/MAG
불가능한	불/XPN + 가능/NNG + 하/XSA + ㄴ/ETM
것은	것/NNB + 은/JX
아니다"고	아니/VCN + 다/EC + "/SS + 고/JKQ
말했다.	말/NNG + 하/XSV + 았/EP + 다/EF + ./SF

쏜	쏜/NNP
박사와	박사/NNG + 와/JC
김	김/NNP
교수가	교수/NNG + 가/JKS
생각하는	생각/NNG + 하/XSV + 는/ETM
시간여행의	시간/NNG + 여행/NNG + 의/JKG
방법은	방법/NNG + 은/JX
'웜홀(벌레구멍)'을	'/SS + 웜홀/NNG + (/SS + 벌레/NNG + 구멍/NNG + )/SS + '/SS + 을/JKO
이용하는	이용/NNG + 하/XSV + 는/ETM
것.	것/NNB + ./SF

웜홀은	웜홀/NNG + 은/JX
아주	아주/MAG
거리가	거리/NNG + 가/JKS
먼	멀/VA + ㄴ/ETM
두	두/MM
지역을	지역/NNG + 을/JKO
빛의	빛/NNG + 의/JKG
속도보다	속도/NNG + 보다/JKB
빨리	빨리/MAG
통과할	통과/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
있는	있/VV + 는/ETM
시공간의	시공간/NNG + 의/JKG
지름길이라	지름길/NNG + 이/VCP + 라/EC
할	하/VV + ㄹ/ETM
수	수/NNB
있다.	있/VV + 다/EF + ./SF

웜홀에서는	웜홀/NNG + 에서/JKB + 는/JX
중력에	중력/NNG + 에/JKB
의해	의하/VV + 아/EC
시공이	시공/NNG + 이/JKS
극단적으로	극단/NNG + 적/XSN + 으로/JKB
휘어져	휘어지/VV + 어/EC
있기	있/VX + 기/ETN
때문에	때문/NNB + 에/JKB
두	두/MM
개의	개/NNB + 의/JKG
장소를	장소/NNG + 를/JKO
순식간에	순식간/NNG + 에/JKB
이동할	이동/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
있다.	있/VV + 다/EF + ./SF

아인슈타인의	아인슈타인/NNP + 의/JKG
특수상대성이론에	특수/NNG + 상대성/NNG + 이론/NNG + 에/JKB
따르면	따르/VV + 면/EC
웜홀의	웜홀/NNG + 의/JKG
입구를	입구/NNG + 를/JKO
광속에	광속/NNG + 에/JKB
가까운	가깝/VA + ㄴ/ETM
속도로	속도/NNG + 로/JKB
이동하면	이동/NNG + 하/XSV + 면/EC
시간의	시간/NNG + 의/JKG
경과가	경과/NNG + 가/JKS
느려진다.	느리/VA + 어/EC + 지/VX + ㄴ다/EF + ./SF

이	이/MM
때문에	때문/NNB + 에/JKB
웜홀의	웜홀/NNG + 의/JKG
다른	다른/MM
입구까지	입구/NNG + 까지/JX
갔다가	가/VV + 았/EP + 다가/EC
다시	다시/MAG
돌아오면	돌아오/VV + 면/EC
출발할	출발/NNG + 하/XSV + ㄹ/ETM
때보다	때/NNG + 보다/JKB
더	더/MAG
과거의	과거/NNG + 의/JKG
시각이	시각/NNG + 이/JKC
될	되/VV + ㄹ/ETM
수	수/NNB
있다고	있/VV + 다고/EC
쏜	쏜/NNP
박사는	박사/NNG + 는/JX
주장하고	주장/NNG + 하/XSV + 고/EC
있다.	있/VX + 다/EF + ./SF

"아직	"/SS + 아직/MAG
발견된	발견/NNG + 되/XSV + ㄴ/ETM
바는	바/NNB + 는/JX
없지만	없/VA + 지만/EC
아인슈타인의	아인슈타인/NNP + 의/JKG
상대성	상대/NNG + 성/XSN
이론	이론/NNG
방정식을	방정식/NNG + 을/JKO
풀면	풀/VV + 면/EC
웜홀이	웜홀/NNG + 이/JKS
존재하는	존재/NNG + 하/XSV + 는/ETM
것으로	것/NNB + 으로/JKB
나옵니다.	나오/VV + ㅂ니다/EF + ./SF

이론상으로만	이론/NNG + 상/XSN + 으로/JKB + 만/JX
예견됐던	예견/NNG + 되/XSV + 었/EP + 던/ETM
블랙홀이	블랙홀/NNG + 이/JKS
최근	최근/NNG
관측	관측/NNG
결과	결과/NNG
실제	실제/NNG
존재하는	존재/NNG + 하/XSV + 는/ETM
것으로	것/NNB + 으로/JKB
정설화되고	정설/NNG + 화/XSN + 되/XSV + 고/EC
있듯이	있/VX + 듯이/EC
웜홀도	웜홀/NNG + 도/JX
실제	실제/NNG
존재할	존재/NNG + 하/XSV + ㄹ/ETM
가능성이	가능/NNG + 성/XSN + 이/JKS
큽니다.	크/VA + ㅂ니다/EF + ./SF

웜홀이	웜홀/NNG + 이/JKS
존재한다면	존재/NNG + 하/XSV + ㄴ다면/EC
타임머신도	타임머신/NNG + 도/JX
가능할	가능/NNG + 하/XSA + ㄹ/ETM
것으로	것/NNB + 으로/JKB
봅니다.	보/VV + ㅂ니다/EF + ./SF

"김	"/SS + 김/NNP
교수의	교수/NNG + 의/JKG
이	이/NP
같은	같/VA + 은/ETM
희망과는	희망/NNG + 과/JKB + 는/JX
달리	달리/MAG
영국	영국/NNP
캠브리지대학의	캠브리지대학/NNP + 의/JKG
스티븐	스티븐/NNP
호킹	호킹/NNP
박사는	박사/NNG + 는/JX
'시간순서	'/SS + 시간/NNG + 순서/NNG
보호'라는	보호/NNG + '/SS + 이/VCP + 라는/ETM
가설을	가설/NNG + 을/JKO
내세워	내세우/VV + 어/EC
시간여행은	시간/NNG + 여행/NNG + 은/JX
불가능하다고	불/XPN + 가능/NNG + 하/XSA + 다고/EC
주장하고	주장/NNG + 하/XSV + 고/EC
있다.	있/VX + 다/EF + ./SF

자연계에는	자연/NNG + 계/XSN + 에/JKB + 는/JX
시간의	시간/NNG + 의/JKG
순서를	순서/NNG + 를/JKO
보호해	보호/NNG + 하/XSV + 아/EC
주는	주/VX + 는/ETM
어떤	어떤/MM
법칙이	법칙/NNG + 이/JKS
존재한다는	존재/NNG + 하/XSV + ㄴ다는/ETM
게	것/NNB + 이/JKS
'시간순서	'/SS + 시간/NNG + 순서/NNG
보호'가설이다.	보호/NNG + '/SS + 가설/NNG + 이/VCP + 다/EF + ./SF

'인과율'과	'/SS + 인과율/NNG + '/SS + 과/JKB
비슷한	비슷/XR + 하/XSA + ㄴ/ETM
이	이/MM
가설의	가설/NNG + 의/JKG
근거로	근거/NNG + 로/JKB
호킹은	호킹/NNP + 은/JX
"미래로부터	"/SS + 미래/NNG + 로부터/JKB
온	오/VV + ㄴ/ETM
여행자가	여행자/NNG + 가/JKS
아직	아직/MAG
한	한/MM
사람도	사람/NNG + 도/JX
발견된	발견/NNG + 되/XSV + ㄴ/ETM
적이	적/NNB + 이/JKS
없기	없/VA + 기/ETN
때문"이라고	때문/NNB + "/SS + 이라고/JKQ
설명하고	설명/NNG + 하/XSV + 고/EC
있다.	있/VX + 다/EF + ./SF

웜홀이	웜홀/NNG + 이/JKS
존재한다는	존재/NNG + 하/XSV + ㄴ다는/ETM
근거를	근거/NNG + 를/JKO
규명하기	규명/NNG + 하/XSV + 기/ETN
위해	위하/VV + 아/EC
연구에	연구/NNG + 에/JKB
몰두중인	몰두/NNG + 중/NNB + 이/VCP + ㄴ/ETM
김	김/NNP
교수는	교수/NNG + 는/JX
"시간여행의	"/SS + 시간/NNG + 여행/NNG + 의/JKG
가능성	가능/NNG + 성/XSN
여부를	여부/NNG + 를/JKO
떠나	떠나/VV + 아/EC
현대	현대/NNG
과학의	과학/NNG + 의/JKG
커다란	커다랗/VA + ㄴ/ETM
줄기를	줄기/NNG + 를/JKO
형성하고	형성/NNG + 하/XSV + 고/EC
있는	있/VX + 는/ETM
상대성이론을	상대/NNG + 성/XSN + 이론/NNG + 을/JKO
집중	집중/NNG
연구할	연구/NNG + 하/XSV + ㄹ/ETM
연구소를	연구소/NNG + 를/JKO
하나	하나/NR
만들고	만들/VV + 고/EC
싶다"고	싶/VX + 다/EC + "/SS + 고/JKQ
말했다.	말/NNG + 하/XSV + 았/EP + 다/EF + ./SF

정보통신의	정보/NNG + 통신/NNG + 의/JKG
활용이	활용/NNG + 이/JKS
교통량을	교통량/NNG + 을/JKO
줄인다는	줄이/VV + ㄴ다는/ETM
연구	연구/NNG
결과가	결과/NNG + 가/JKS
나와	나오/VV + 아/EC
주목을	주목/NNG + 을/JKO
끌고	끌/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

서울시립대	서울시립대/NNP
원제무	원제무/NNP
교수(건축학과)는	교수/NNG + (/SS + 건축학/NNG + 과/NNG + )/SS + 는/JX
최근	최근/NNG
'팩시밀리	'/SS + 팩시밀리/NNG
이용	이용/NNG
실태를	실태/NNG + 를/JKO
중심으로	중심/NNG + 으로/JKB
본	보/VV + ㄴ/ETM
통신과	통신/NNG + 과/JC
교통의	교통/NNG + 의/JKG
상관관계'라는	상관관계/NNG + '/SS + 이/VCP + 라는/ETM
논문에서	논문/NNG + 에서/JKB
"단순한	"/SS + 단순/NNG + 하/XSA + ㄴ/ETM
통신기기에	통신/NNG + 기기/NNG + 에/JKB
불과한	불과/MAG + 하/XSA + ㄴ/ETM
팩시밀리가	팩시밀리/NNG + 가/JKS
그	그/MM
통행대체	통행/NNG + 대체/NNG
효과만	효과/NNG + 만/JX
고려하더라도	고려/NNG + 하/XSV + 더라도/EC
상당한	상당/NNG + 하/XSA + ㄴ/ETM
사회적	사회/NNG + 적/XSN
편익을	편익/NNG + 을/JKO
발생시키고	발생/NNG + 시키/XSV + 고/EC
있다"고	있/VX + 다/EC + "/SS + 고/JKQ
결론짓고	결론짓/VV + 고/EC
"불필요한	"/SS + 불/XPN + 필요/NNG + 하/XSA + ㄴ/ETM
통행비용	통행/NNG + 비용/NNG
생성과	생성/NNG + 과/JC
혼잡비용	혼잡/NNG + 비용/NNG
증가를	증가/NNG + 를/JKO
방지하기	방지/NNG + 하/XSV + 기/ETN
위해	위하/VV + 아/EC
통신수단의	통신/NNG + 수단/NNG + 의/JKG
사용을	사용/NNG + 을/JKO
사회적으로	사회/NNG + 적/XSN + 으로/JKB
권장해야	권장/NNG + 하/XSV + 아야/EC
한다"고	하/VX + ㄴ다/EC + "/SS + 고/JKQ
주장했다.	주장/NNG + 하/XSV + 았/EP + 다/EF + ./SF

원	원/NNP
교수는	교수/NNG + 는/JX
팩시밀리의	팩시밀리/NNG + 의/JKG
통행대체	통행/NNG + 대체/NNG
효과에	효과/NNG + 에/JKB
의한	의하/VV + ㄴ/ETM
편익을	편익/NNG + 을/JKO
산정하기	산정/NNG + 하/XSV + 기/ETN
위해	위하/VV + 아/EC
대기업과	대/XPN + 기업/NNG + 과/JC
중소기업의	중소기업/NNG + 의/JKG
업무용	업무/NNG + 용/XSN
팩시밀리	팩시밀리/NNG
이용패턴을	이용/NNG + 패턴/NNG + 을/JKO
조사했다.	조사/NNG + 하/XSV + 았/EP + 다/EF + ./SF

이에	이/NP + 에/JKB
따르면	따르/VV + 면/EC
팩시밀리	팩시밀리/NNG
한대당	한/MM + 대/NNB + 당/XSN
하루	하루/NNG
평균	평균/NNG
이용횟수는	이용/NNG + 횟수/NNG + 는/JX
대기업	대/XPN + 기업/NNG
18회,	18/SN + 회/NNB + ,/SP
중소기업	중소기업/NNG
27회로	27/SN + 회/NNB + 로/JKB
조사됐다.	조사/NNG + 되/XSV + 었/EP + 다/EF + ./SF

또	또/MAG
차량	차량/NNG
대신	대신/NNG
팩시밀리를	팩시밀리/NNG + 를/JKO
한	한/MM
번	번/NNB
사용함에	사용/NNG + 하/XSV + ㅁ/ETN + 에/JKB
따라	따르/VV + 아/EC
절감되는	절감/NNG + 되/XSV + 는/ETM
시간은	시간/NNG + 은/JX
대기업	대/XPN + 기업/NNG
1시간47분,	1/SN + 시간/NNG + 47/SN + 분/NNB + ,/SP
중소기업	중소기업/NNG
1시간52분이었다.	1/SN + 시간/NNG + 52/SN + 분/NNB + 이/VCP + 었/EP + 다/EF + ./SF

통행시간의	통행/NNG + 시간/NNG + 의/JKG
가치는	가치/NNG + 는/JX
각각	각각/MAG
시간당	시간/NNG + 당/XSN
5천	5/SN + 천/NR
1백	1/SN + 백/NR
76	76/SN
원과	원/NNB + 과/JC
3천	3/SN + 천/NR
3백	3/SN + 백/NR
26	26/SN
원	원/NNB
꼴로	꼴/NNG + 로/JKB
나타났다.	나타나/VV + 았/EP + 다/EF + ./SF

여기서	여기/NP + 서/JKB
말하는	말/NNG + 하/XSV + 는/ETM
통행시간의	통행/NNG + 시간/NNG + 의/JKG
가치란,	가치/NNG + 란/JX + ,/SP
차량대신	차량/NNG + 대신/NNG
팩시밀리를	팩시밀리/NNG + 를/JKO
이용했을	이용/NNG + 하/XSV + 았/EP + 을/ETM
때	때/NNG
절약되는	절약/NNG + 되/XSV + 는/ETM
시간을	시간/NNG + 을/JKO
생산	생산/NNG
활동에	활동/NNG + 에/JKB
투입할	투입/NNG + 하/XSV + ㄹ/ETM
경우	경우/NNG
발생하는	발생/NNG + 하/XSV + 는/ETM
이익을	이익/NNG + 을/JKO
가리킨다.	가리키/VV + ㄴ다/EF + ./SF

원교수가	원/NNP + 교수/NNG + 가/JKS
이	이/NP
같은	같/VA + 은/ETM
수치들을	수치/NNG + 들/XSN + 을/JKO
지표로	지표/NNG + 로/JKB
삼아	삼/VV + 아/EC
팩시밀리	팩시밀리/NNG
사용에	사용/NNG + 에/JKB
따른	따르/VV + ㄴ/ETM
편익을	편익/NNG + 을/JKO
종합적으로	종합/NNG + 적/XSN + 으로/JKB
산출한	산출/NNG + 하/XSV + ㄴ/ETM
결과	결과/NNG
팩시밀리를	팩시밀리/NNG + 를/JKO
한	한/MM
번	번/NNB
사용할	사용/NNG + 하/XSV + ㄹ/ETM
경우	경우/NNG
대기업에서는	대/XPN + 기업/NNG + 에서/JKB + 는/JX
7천	7/SN + 천/NR
6백원,	6/SN + 백/NR + 원/NNB + ,/SP
중소기업에서는	중소기업/NNG + 에서/JKB + 는/JX
5천	5/SN + 천/NR
1백원	1/SN + 백/NR + 원/NNB
정도의	정도/NNG + 의/JKG
편익이	편익/NNG + 이/JKS
각각	각각/MAG
발생하는	발생/NNG + 하/XSV + 는/ETM
것으로	것/NNB + 으로/JKB
나타났다.	나타나/VV + 았/EP + 다/EF + ./SF

원교수의	원/NNP + 교수/NNG + 의/JKG
팩시밀리	팩시밀리/NNG
편익	편익/NNG
산출방법에	산출/NNG + 방법/NNG + 에/JKB
따르면,	따르/VV + 면/EC + ,/SP
가정용	가정/NNG + 용/XSN
등을	등/NNB + 을/JKO
제외하고	제외/NNG + 하/XSV + 고/EC
업무용	업무/NNG + 용/XSN
팩시밀리를	팩시밀리/NNG + 를/JKO
사용함에	사용/NNG + 하/XSV + ㅁ/ETN + 에/JKB
따른	따르/VV + ㄴ/ETM
편익은	편익/NNG + 은/JX
서울의	서울/NNP + 의/JKG
경우	경우/NNG
하루	하루/NNG
약	약/MM
2천	2/SN + 천/NR
7백	7/SN + 백/NR
23만원(연간	23/SN + 만/NR + 원/NNB + (/SS + 연간/NNG
약	약/MM
8백	8/SN + 백/NR
17억원)에	17/SN + 억/NR + 원/NNB + )/SS + 에/JKB
이르는	이르/VV + 는/ETM
것으로	것/NNB + 으로/JKB
추산됐다(90년말	추산/NNG + 되/XSV + 었/EP + 다/EC + (/SS + 90/SN + 년/NNB + 말/NNB
기준).	기준/NNG + )/SS + ./SF

팩시밀리	팩시밀리/NNG
가격이	가격/NNG + 이/JKS
50만	50/SN + 만/NR
~	~/SO
1백만원	1/SN + 백만/NR + 원/NNB
수준인	수준/NNG + 이/VCP + ㄴ/ETM
점을	점/NNG + 을/JKO
고려할	고려/NNG + 하/XSV + ㄹ/ETM
때	때/NNG
팩시밀리	팩시밀리/NNG
사용자는	사용자/NNG + 는/JX
설치비와	설치비/NNG + 와/JC
운용비를	운용비/NNG + 를/JKO
제외하더라도	제외/NNG + 하/XSV + 더라도/EC
커다란	커다랗/VA + ㄴ/ETM
편익을	편익/NNG + 을/JKO
얻는다는	얻/VV + 는다는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

게다가	게다가/MAG
여기서	여기/NP + 서/JKB
발생한	발생/NNG + 하/XSV + ㄴ/ETM
편익은	편익/NNG + 은/JX
팩시밀리	팩시밀리/NNG
사용자에게	사용자/NNG + 에게/JKB
직접	직접/MAG
제공되는	제공/NNG + 되/XSV + 는/ETM
것이	것/NNB + 이/JKC
아니라	아니/VCN + 라/EC
간접적으로	간접/NNG + 적/XSN + 으로/JKB
돌아가는	돌아가/VV + 는/ETM
것이기	것/NNB + 이/VCP + 기/ETN
때문에	때문/NNB + 에/JKB
팩시밀리	팩시밀리/NNG
사용에	사용/NNG + 에/JKB
따른	따르/VV + ㄴ/ETM
사회	사회/NNG
전체의	전체/NNG + 의/JKG
