15면	15/SN + 면/NNG
장치들이다.	장치/NNG + 들/XSN + 이/VCP + 다/EF + ./SF

지금보다	지금/NNG + 보다/JKB
몇	몇/MM
배	배/NNG
더	더/MAG
편리한	편리/NNG + 하/XSA + ㄴ/ETM
생활을	생활/NNG + 을/JKO
찾게	찾/VV + 게/EC
될	되/VV + ㄹ/ETM
미래에는	미래/NNG + 에/JKB + 는/JX
더욱	더욱/MAG
다양한	다양/NNG + 하/XSA + ㄴ/ETM
센서계측	센서/NNG + 계측/NNG
기술자가	기술자/NNG + 가/JKS
필요하다.	필요/NNG + 하/XSA + 다/EF + ./SF

◆쇼핑호스트=인터넷이	◆/SW + 쇼핑/NNG + 호스트/NNG + =/SW + 인터넷/NNG + 이/JKS
TV와	TV/SL + 와/JC
결합돼	결합/NNG + 되/XSV + 어/EC
손쉽게	손쉽/VA + 게/EC
접근할	접근/NNG + 하/XSV + ㄹ/ETM
수	수/NNB
있게	있/VV + 게/EC
되면	되/VV + 면/EC
수많은	수많/VA + 은/ETM
인터넷	인터넷/NNG
쇼핑몰들이	쇼핑몰/NNG + 들/XSN + 이/JKS
동영상을	동영상/NNG + 을/JKO
통해	통하/VV + 아/EC
상품을	상품/NNG + 을/JKO
판매하는	판매/NNG + 하/XSV + 는/ETM
데	데/NNB
나설	나서/VV + ㄹ/ETM
것으로	것/NNB + 으로/JKB
예상된다.	예상/NNG + 되/XSV + ㄴ다/EF + ./SF

따라서	따라서/MAJ
상품정보를	상품/NNG + 정보/NNG + 를/JKO
전달해	전달/NNG + 하/XSV + 아/EC
구매를	구매/NNG + 를/JKO
유도하는	유도/NNG + 하/XSV + 는/ETM
쇼핑호스트의	쇼핑/NNG + 호스트/NNG + 의/JKG
수요가	수요/NNG + 가/JKS
크게	크/VA + 게/EC
늘어날	늘어나/VV + ㄹ/ETM
전망.	전망/NNG + ./SF

쇼핑호스트는	쇼핑/NNG + 호스트/NNG + 는/JX
일정	일정/NNG
수준	수준/NNG
이상의	이상/NNG + 의/JKG
외모를	외모/NNG + 를/JKO
갖추고	갖추/VV + 고/EC
언어	언어/NNG
구사력이	구사력/NNG + 이/JKS
뛰어나야	뛰어나/VA + 아야/EC
하며,	하/VX + 며/EC + ,/SP
약간의	약간/NNG + 의/JKG
연기력도	연기력/NNG + 도/JX
갖추어야	갖추/VV + 어야/EC
한다.	하/VX + ㄴ다/EF + ./SF

◆김치연구-제조자=김치는	◆/SW + 김치/NNG + 연구/NNG + -/SS + 제조자/NNG + =/SW + 김치/NNG + 는/JX
최근	최근/NNG
들어	들/VV + 어/EC
세계적으로	세계/NNG + 적/XSN + 으로/JKB
수요가	수요/NNG + 가/JKS
급증하면서	급증/NNG + 하/XSV + 면서/EC
세계적인	세계/NNG + 적/XSN + 이/VCP + ㄴ/ETM
식품으로	식품/NNG + 으로/JKB
자리를	자리/NNG + 를/JKO
잡아가고	잡아가/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

특히	특히/MAG
일본인들은	일본인/NNG + 들/XSN + 은/JX
한국	한국/NNP
김치에	김치/NNG + 에/JKB
관한	관하/VV + ㄴ/ETM
관심이	관심/NNG + 이/JKS
지대하다.	지대/XR + 하/XSA + 다/EF + ./SF

이에	이/NP + 에/JKB
따라	따르/VV + 아/EC
김치연구-제조자들이	김치/NNG + 연구/NNG + -/SS + 제조자/NNG + 들/XSN + 이/JKS
상당한	상당/NNG + 하/XSA + ㄴ/ETM
대우를	대우/NNP + 를/JKO
받게	받/VV + 게/EC
될	되/VV + ㄹ/ETM
전망이다.	전망/NNG + 이/VCP + 다/EF + ./SF

이들은	이/NP + 들/XSN + 은/JX
김치의	김치/NNG + 의/JKG
맛과	맛/NNG + 과/JC
성분의	성분/NNG + 의/JKG
표준화를	표준/NNG + 화/XSN + 를/JKO
이루고,	이루/VV + 고/EC + ,/SP
포장방법을	포장/NNG + 방법/NNG + 을/JKO
개선하며,	개선/NNG + 하/XSV + 며/EC + ,/SP
새로운	새롭/VA + ㄴ/ETM
김치종류를	김치/NNG + 종류/NNG + 를/JKO
개발하는	개발/NNG + 하/XSV + 는/ETM
등의	등/NNB + 의/JKG
구실을	구실/NNG + 을/JKO
하게	하/VV + 게/EC
된다.	되/VV + ㄴ다/EF + ./SF

◆사이버금융	◆/SW + 사이버/NNG + 금융/NNG
전문가=미래에는	전문가/NNG + =/SW + 미래/NNG + 에/JKB + 는/JX
은행에	은행/NNG + 에/JKB
가지	가/VV + 지/EC
않고	않/VX + 고/EC
컴퓨터를	컴퓨터/NNG + 를/JKO
이용해	이용/NNG + 하/XSV + 아/EC
은행업무를	은행/NNG + 업무/NNG + 를/JKO
보게	보/VV + 게/EC
될	되/VV + ㄹ/ETM
전망이다.	전망/NNG + 이/VCP + 다/EF + ./SF

현재와	현재/NNG + 와/JKB
같은	같/VA + 은/ETM
은행	은행/NNG
지점들은	지점/NNG + 들/XSN + 은/JX
상당수가	상당수/NNG + 가/JKS
없어지고	없/VA + 어/EC + 지/VX + 고/EC
컴퓨터	컴퓨터/NNG
네트워크	네트워크/NNG
상에서	상/NNG + 에서/JKB
입출금과	입출금/NNG + 과/JC
대출업무,	대출/NNG + 업무/NNG + ,/SP
심지어	심지어/MAG
재산을	재산/NNG + 을/JKO
대신	대신/NNG
관리해주는	관리/NNG + 하/XSV + 아/EC + 주/VX + 는/ETM
활동이	활동/NNG + 이/JKS
이루어진다.	이루어지/VV + ㄴ다/EF + ./SF

금융에	금융/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
실무경험과	실무/NNG + 경험/NNG + 과/JKB
함께	함께/MAG
컴퓨터	컴퓨터/NNG
지식을	지식/NNG + 을/JKO
갖춘	갖추/VV + ㄴ/ETM
사람들은	사람/NNG + 들/XSN + 은/JX
사이버금융	사이버/NNG + 금융/NNG
전문가로	전문가/NNG + 로/JKB
각광을	각광/NNG + 을/JKO
받게	받/VV + 게/EC
될	되/VV + ㄹ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

◆관광기획자=프랑스의	◆/SW + 관광/NNG + 기획자/NNG + =/SW + 프랑스/NNP + 의/JKG
가정에	가정/NNG + 에/JKB
며칠	며칠/NNG
동안	동안/NNG
머물고	머물/VV + 고/EC
싶다거나	싶/VX + 다/EC + 거나/JX
5일	5/SN + 일/NNB
동안	동안/NNG
한국을	한국/NNP + 을/JKO
짜임새	짜임새/NNG
있게	있/VV + 게/EC
여행하고	여행/NNG + 하/XSV + 고/EC
싶을	싶/VX + 을/ETM
땐	때/NNG + ㄴ/JX
어떻게	어떻/VA + 게/EC
할까.	하/VV + ㄹ까/EF + ./SF

미래의	미래/NNG + 의/JKG
관광은	관광/NNG + 은/JX
이처럼	이/NP + 처럼/JKB
철저하게	철저/NNG + 하/XSA + 게/EC
테마관광이	테마/NNG + 관광/NNG + 이/JKC
될	되/VV + ㄹ/ETM
전망이다.	전망/NNG + 이/VCP + 다/EF + ./SF

따라서	따라서/MAJ
다양한	다양/NNG + 하/XSA + ㄴ/ETM
여행상품을	여행/NNG + 상품/NNG + 을/JKO
기획해	기획/NNG + 하/XSV + 아/EC
상품화하는	상품/NNG + 화/XSN + 하/XSV + 는/ETM
인력이	인력/NNG + 이/JKS
늘어날	늘어나/VV + ㄹ/ETM
것으로	것/NNB + 으로/JKB
예상된다.	예상/NNG + 되/XSV + ㄴ다/EF + ./SF

◆대인서비스업	◆/SW + 대인/NNG + 서비스업/NNG
종합	종합/NNG
컨설턴트=미래에는	컨설턴트/NNG + =/SW + 미래/NNG + 에/JKB + 는/JX
80%에	80/SN + %/SW + 에/JKB
가까운	가깝/VA + ㄴ/ETM
인구가	인구/NNG + 가/JKS
음식점	음식점/NNG
등	등/NNB
대인서비스업에	대인/NNG + 서비스업/NNG + 에/JKB
종사하게	종사/NNG + 하/XSV + 게/EC
될	되/VV + ㄹ/ETM
전망이다.	전망/NNG + 이/VCP + 다/EF + ./SF

그만큼	그만큼/MAG
서비스업종의	서비스/NNG + 업종/NNG + 의/JKG
수도	수/NNG + 도/JX
늘어난다는	늘어나/VV + ㄴ다는/ETM
것.	것/NNB + ./SF

이에	이/NP + 에/JKB
따라	따르/VV + 아/EC
이들	이/NP + 들/XSN
대인서비스업을	대인/NNG + 서비스업/NNG + 을/JKO
어느	어느/MM
장소에서,	장소/NNG + 에서/JKB + ,/SP
어떤	어떤/MM
테마를	테마/NNG + 를/JKO
갖고	갖/VV + 고/EC
할	하/VX + ㄹ/ETM
것인지	것/NNB + 이/VCP + ㄴ지/EC
상담해주는	상담/NNG + 하/XSV + 아/EC + 주/VX + 는/ETM
종합	종합/NNG
컨설턴트	컨설턴트/NNG
수요가	수요/NNG + 가/JKS
늘어날	늘어나/VV + ㄹ/ETM
것으로	것/NNB + 으로/JKB
예상된다.	예상/NNG + 되/XSV + ㄴ다/EF + ./SF

◆실버산업	◆/SW + 실버/NNG + 산업/NNG
종사자=노령인구의	종사자/NNG + =/SW + 노령/NNG + 인구/NNG + 의/JKG
증가에	증가/NNG + 에/JKB
따라	따르/VV + 아/EC
실버산업의	실버/NNG + 산업/NNG + 의/JKG
발전은	발전/NNG + 은/JX
필연적이다.	필연/NNG + 적/XSN + 이/VCP + 다/EF + ./SF

노인의	노인/NNG + 의/JKG
말벗이	말벗/NNG + 이/JKC
되어주거나	되/VV + 어/EC + 주/VX + 거나/EC
아픈	아프/VA + ㄴ/ETM
곳을	곳/NNG + 을/JKO
치료해줄	치료/NNG + 하/XSV + 아/EC + 주/VX + ㄹ/ETM
수	수/NNB
있는	있/VV + 는/ETM
사람들이	사람/NNG + 들/XSN + 이/JKS
크게	크/VA + 게/EC
늘어날	늘어나/VV + ㄹ/ETM
것으로	것/NNB + 으로/JKB
전망된다.	전망/NNG + 되/XSV + ㄴ다/EF + ./SF

<표>유망직종과	</SS + 표/NNG + >/SS + 유망/NNG + 직종/NNG + 과/JC
특징	특징/NNG

11면	11/SN + 면/NNG
45판	45/SN + 판/NNB
484자	484/SN + 자/NNG

돌연	돌연/MAG
인천제철회장으로	인천제철/NNP + 회장/NNG + 으로/JKB
경영진	경영진/NNG
세대교체	세대교체/NNG
예고	예고/NNG

구랍	구랍/NNG
30일	30/SN + 일/NNB
현대그룹	현대그룹/NNP
인사때	인사/NNG + 때/NNG
현대자동차	현대자동차/NNP
회장으로	회장/NNG + 으로/JKB
자리를	자리/NNG + 를/JKO
옮겼던	옮기/VV + 었/EP + 던/ETM
박세용(박세용)	박세용/NNP + (/SS + 박세용/NNP + )/SS
전	전/MM
구조조정위원장이	구조/NNG + 조정/NNG + 위원장/NNG + 이/JKS
닷새만에	닷새/NNG + 만/NNB + 에/JKB
돌연	돌연/MAG
인천제철	인천제철/NNP
회장으로	회장/NNG + 으로/JKB
다시	다시/MAG
옮겼다.	옮기/VV + 었/EP + 다/EF + ./SF

현대는	현대/NNP + 는/JX
4일	4/SN + 일/NNB
박세용	박세용/NNP
현대자동차	현대자동차/NNP
회장이	회장/NNG + 이/JKS
현대	현대/NNP
구조조정위원회	구조/NNG + 조정/NNG + 위원회/NNG
상임고문	상임/NNG + 고문/NNG
및	및/MAG
인천제철	인천제철/NNP
회장으로	회장/NNG + 으로/JKB
자리를	자리/NNG + 를/JKO
옮겼다고	옮기/VV + 었/EP + 다고/EC
밝혔다.	밝히/VV + 었/EP + 다/EF + ./SF

이번	이번/NNG
인사는	인사/NNG + 는/JX
이날	이날/NNG
오후	오후/NNG
박	박/NNP
회장이	회장/NNG + 이/JKS
정몽구(정몽구)	정몽구/NNP + (/SS + 정몽구/NNP + )/SS
현대자동차	현대자동차/NNP
회장을	회장/NNG + 을/JKO
찾아가	찾아가/VV + 아/EC
만난	만나/VV + ㄴ/ETM
직후	직후/NNG
발표됐다.	발표/NNG + 되/XSV + 었/EP + 다/EF + ./SF

현대	현대/NNP
관계자는	관계자/NNG + 는/JX
"이번	"/SS + 이번/NNG
인사는	인사/NNG + 는/JX
박	박/NNP
회장이	회장/NNG + 이/JKS
자신의	자신/NNG + 의/JKG
거취에	거취/NNG + 에/JKB
대해	대하/VV + 아/EC
정주영(정주영)	정주영/NNP + (/SS + 정주영/NNP + )/SS
명예회장및	명예/NNG + 회장/NNG + 및/MAG
정몽구(정몽구)	정몽구/NNP + (/SS + 정몽구/NNP + )/SS
회장과	회장/NNG + 과/JC
상의해	상의/NNG + 하/XSV + 아/EC
이뤄진	이루어지/VV + ㄴ/ETM
것"이라면서	것/NNB + "/SS + 이/VCP + 라면서/EC
"구조조정을	"/SS + 구조/NNG + 조정/NNG + 을/JKO
마무리짓고	마무리/NNG + 짓/VV + 고/EC
현대계열에서	현대/NNP + 계열/NNG + 에서/JKB
분리될	분리/NNG + 되/XSV + ㄹ/ETM
인천제철을	인천제철/NNP + 을/JKO
독자적으로	독자/NNG + 적/XSN + 으로/JKB
경영해보겠다는	경영/NNG + 하/XSV + 아/EC + 보/VX + 겠/EP + 다는/ETM
박	박/NNP
회장의	회장/NNG + 의/JKG
뜻이	뜻/NNG + 이/JKS
받아들여진	받아들이/VV + 어/EC + 지/VX + ㄴ/ETM
것으로	것/NNB + 으로/JKB
안다"고	안/VV + 다/EC + "/SS + 고/JKQ
말했다.	말/NNG + 하/XSV + 았/EP + 다/EF + ./SF

현대그룹	현대그룹/NNP
안팎에서는	안팎/NNG + 에서/JKB + 는/JX
이번	이번/NNG
인사로	인사/NNG + 로/JKB
박	박/NNP
회장이	회장/NNG + 이/JKS
사실상	사실/NNG + 상/XSN
그룹	그룹/NNG
최고경영진에서	최고/NNG + 경영진/NNG + 에서/JKB
물러나는	물러나/VV + 는/ETM
것으로	것/NNB + 으로/JKB
해석하고	해석/NNG + 하/XSV + 고/EC
있으며,	있/VX + 으며/EC + ,/SP
현대	현대/NNP
최고경영진들의	최고/NNG + 경영진/NNG + 들/XSN + 의/JKG
세대교체가	세대교체/NNG + 가/JKS
본격	본격/NNG
시작될	시작/NNG + 되/XSV + ㄹ/ETM
것으로	것/NNB + 으로/JKB
전망하고	전망/NNG + 하/XSV + 고/EC
있다.	있/VX + 다/EF + ./SF

11면	11/SN + 면/NNG
45판	45/SN + 판/NNB
1575자	1575/SN + 자/NNG

◈새	◈/SW + 새/MM
천년을	천/NR + 년/NNB + 을/JKO
맞은	맞/VV + 은/ETM
한국	한국/NNP
경제는	경제/NNG + 는/JX
외환위기로	외환/NNG + 위기/NNG + 로/JKB
인한	인하/VV + ㄴ/ETM
경기침체에서는	경기/NNG + 침체/NNG + 에서/JKB + 는/JX
벗어났지만	벗어나/VV + 았/EP + 지만/EC
지속적인	지속/NNG + 적/XSN + 이/VCP + ㄴ/ETM
성장기반을	성장/NNG + 기반/NNG + 을/JKO
다지고	다지/VV + 고/EC
선진경제로	선진/NNG + 경제/NNG + 로/JKB
도약하기	도약/NNG + 하/XSV + 기/ETN
위한	위하/VV + ㄴ/ETM
중요한	중요/NNG + 하/XSA + ㄴ/ETM
고비에	고비/NNG + 에/JKB
서	서/VV + 어/EC
있다.	있/VX + 다/EF + ./SF

성장잠재력	성장/NNG + 잠재력/NNG
복원과	복원/NNG + 과/JKB
함께	함께/MAG
금융-기업	금융/NNG + -/SS + 기업/NNG
부문의	부문/NNG + 의/JKG
지속적인	지속/NNG + 적/XSN + 이/VCP + ㄴ/ETM
구조조정	구조/NNG + 조정/NNG
추진,	추진/NNG + ,/SP
소득불평등	소득/NNG + 불/XPN + 평등/NNG
완화와	완화/NNG + 와/JC
중산층	중산/NNG + 층/XSN
재건	재건/NNG
등이	등/NNB + 이/JKS
올해	올해/NNG
한국	한국/NNP
경제에	경제/NNG + 에/JKB
주어진	주어지/VV + ㄴ/ETM
과제다.	과제/NNG + 이/VCP + 다/EF + ./SF

2000년	2000/SN + 년/NNB
한국	한국/NNP
경제의	경제/NNG + 의/JKG
좌표설정과	좌표/NNG + 설정/NNG + 과/JKB
관련한	관련/NNG + 하/XSV + ㄴ/ETM
국내외	국내외/NNG
전문가들의	전문가/NNG + 들/XSN + 의/JKG
진단과	진단/NNG + 과/JC
충고를	충고/NNG + 를/JKO
차례로	차례/NNG + 로/JKB
들어본다.	듣/VV + 어/EC + 보/VX + ㄴ다/EF + ./SF

/편집자	//SP + 편집자/NNG

◈2000년	◈/SW + 2000/SN + 년/NNB
한국	한국/NNP
경제는	경제/NNG + 는/JX
경기	경기/NNG
사이클상	사이클/NNG + 상/XSN
매우	매우/MAG
중요한	중요/NNG + 하/XSA + ㄴ/ETM
과도기를	과도기/NNG + 를/JKO
맞을	맞/VV + 을/ETM
것으로	것/NNB + 으로/JKB
보인다.	보이/VV + ㄴ다/EF + ./SF

지금까지	지금/NNG + 까지/JX
한국	한국/NNP
경제의	경제/NNG + 의/JKG
성장은	성장/NNG + 은/JX
수요	수요/NNG
창출에만	창출/NNG + 에/JKB + 만/JX
의존해	의존/NNG + 하/XSV + 아/EC
왔다.	오/VX + 았/EP + 다/EF + ./SF

경기	경기/NNG
침체기	침체기/NNG
때마다	때/NNG + 마다/JX
외부	외부/NNG
호재와	호재/NNG + 와/JC
경기	경기/NNG
부양	부양/NNG
정책으로	정책/NNG + 으로/JKB
수요가	수요/NNG + 가/JKS
창출됐으며,	창출/NNG + 되/XSV + 었/EP + 으며/EC + ,/SP
이는	이/NP + 는/JX
곧	곧/MAG
성장의	성장/NNG + 의/JKG
에너지가	에너지/NNG + 가/JKC
됐다.	되/VV + 었/EP + 다/EC

하지만	하지만/MAJ
경제가	경제/NNG + 가/JKS
급속히	급속히/MAG
회복하면서	회복/NNG + 하/XSV + 면서/EC
기존	기존/NNG
생산능력을	생산/NNG + 능력/NNG + 을/JKO
빠르게	빠르/VA + 게/EC
소모하고	소모/NNG + 하/XSV + 고/EC
있으며,	있/VX + 으며/EC + ,/SP
올해중	올해/NNG + 중/NNB
성장을	성장/NNG + 을/JKO
지속하기	지속/NNG + 하/XSV + 기/ETN
위한	위하/VV + ㄴ/ETM
투자를	투자/NNG + 를/JKO
다시	다시/MAG
시작해야	시작/NNG + 하/XSV + 아야/EC
한다.	하/VX + ㄴ다/EF + ./SF

이같은	이/NP + 같/VA + 은/ETM
상황에서	상황/NNG + 에서/JKB
경기는	경기/NNG + 는/JX
상당한	상당/NNG + 하/XSA + ㄴ/ETM
침체기를	침체기/NNG + 를/JKO
겪어야만	겪/VV + 어야/EC + 만/JX
한다.	하/VX + ㄴ다/EF + ./SF

아니면	아니/VCN + 면/EC
인플레가	인플레/NNG + 가/JKS
가속화된다.	가속/NNG + 화/XSN + 되/XSV + ㄴ다/EF + ./SF

경기를	경기/NNG + 를/JKO
둔화시키는	둔화/NNG + 시키/XSV + 는/ETM
데는	데/NNB + 는/JX
중앙은행이	중앙은행/NNG + 이/JKS
금리를	금리/NNG + 를/JKO
인상시키거나,	인상/NNG + 시키/XSV + 거나/EC + ,/SP
정부가	정부/NNG + 가/JKS
지출을	지출/NNG + 을/JKO
삭감하는	삭감/NNG + 하/XSV + 는/ETM
통상	통상/NNG
두가지	두/MM + 가지/NNB
방법이	방법/NNG + 이/JKS
있다.	있/VV + 다/EF + ./SF

대부분의	대부분/NNG + 의/JKG
예산항목은	예산/NNG + 항목/NNG + 은/JX
2~3년간	2/SN + ~/SO + 3/SN + 년/NNB + 간/NNG
지속되며	지속/NNG + 되/XSV + 며/EC
즉각적인	즉각/MAG + 적/XSN + 이/VCP + ㄴ/ETM
삭감이	삭감/NNG + 이/JKS
불가능하므로	불/XPN + 가능/NNG + 하/XSA + 므로/EC
재정정책은	재정/NNG + 정책/NNG + 은/JX
실행이	실행/NNG + 이/JKS
어려울	어렵/VA + ㄹ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

금리	금리/NNG
인상도	인상/NNG + 도/JX
한국의	한국/NNP + 의/JKG
금융	금융/NNG
시스템이	시스템/NNG + 이/JKS
여전히	여전히/MAG
취약하기	취약/NNG + 하/XSA + 기/ETN
때문에	때문/NNB + 에/JKB
쉬운	쉽/VA + ㄴ/ETM
방법은	방법/NNG + 은/JX
아니다.	아니/VCN + 다/EF + ./SF

한국은	한국/NNP + 은/JX
강제적인	강제/NNG + 적/XSN + 이/VCP + ㄴ/ETM
부채비율	부채/NNG + 비율/NNG
축소와	축소/NNG + 와/JC
상호지급보증	상호/NNG + 지급/NNG + 보증/NNG
금지,	금지/NNG + ,/SP
재벌	재벌/NNG
기업에	기업/NNG + 에/JKB
대한	대하/VV + ㄴ/ETM
결합재무제표	결합/NNG + 재무제표/NNG
작성	작성/NNG
등	등/NNB
점진적인	점진/NNG + 적/XSN + 이/VCP + ㄴ/ETM
기업	기업/NNG
재무구조	재무/NNG + 구조/NNG
개선	개선/NNG
방식을	방식/NNG + 을/JKO
택하고	택하/VV + 고/EC
있다.	있/VX + 다/EF + ./SF

이런	이런/MM
조치는	조치/NNG + 는/JX
도산만큼	도산/NNG + 만큼/JKB
극적이진	극/NNG + 적/XSN + 이/VCP + 지/EC + ㄴ/JX
않지만	않/VX + 지만/EC
시간이	시간/NNG + 이/JKS
지나면서	지나/VV + 면서/EC
경제	경제/NNG
효율성을	효율/NNG + 성/XSN + 을/JKO
개선시켜	개선/NNG + 시키/XSV + 어/EC
준다.	주/VX + ㄴ다/EF + ./SF

대신	대신/NNG
이	이/MM
방식은	방식/NNG + 은/JX
금융기관들이	금융/NNG + 기관/NNG + 들/XSN + 이/JKS
대출상환에	대출/NNG + 상환/NNG + 에/JKB
곤란을	곤란/NNG + 을/JKO
겪는	겪/VV + 는/ETM
많은	많/VA + 은/ETM
기업을	기업/NNG + 을/JKO
계속	계속/MAG
지원해야	지원/NNG + 하/XSV + 아야/EC
하는	하/VX + 는/ETM
대가를	대가/NNG + 를/JKO
치러야	치르/VV + 어야/EC
한다.	하/VX + ㄴ다/EF + ./SF

하지만	하지만/MAJ
이들	이/NP + 들/XSN
금융기관의	금융/NNG + 기관/NNG + 의/JKG
유동성이	유동/NNG + 성/XSN + 이/JKS
높지	높/VA + 지/EC
못해	못하/VX + 아/EC
신규투자를	신규/NNG + 투자/NNG + 를/JKO
위한	위하/VV + ㄴ/ETM
자금	자금/NNG
지원도	지원/NNG + 도/JX
수월하지	수월/XR + 하/XSA + 지/EC
못하다.	못하/VX + 다/EF + ./SF

따라서	따라서/MAJ
거시경제	거시/NNG + 경제/NNG
개혁의	개혁/NNG + 의/JKG
원칙은	원칙/NNG + 은/JX
자본조달	자본/NNG + 조달/NNG
수단을	수단/NNG + 을/JKO
부채에서	부채/NNG + 에서/JKB
주식으로	주식/NNG + 으로/JKB
전환하는	전환/NNG + 하/XSV + 는/ETM
것을	것/NNB + 을/JKO
촉진시켜,	촉진/NNG + 시키/XSV + 어/EC + ,/SP
주식시장이	주식/NNG + 시장/NNG + 이/JKS
성장	성장/NNG
지속에	지속/NNG + 에/JKB
필요한	필요/NNG + 하/XSA + ㄴ/ETM
자금의	자금/NNG + 의/JKG
주요	주요/NNG
공급원이	공급원/NNG + 이/JKC
되도록	되/VV + 도록/EC
하는	하/VX + 는/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

거시적	거시/NNG + 적/XSN
환경의	환경/NNG + 의/JKG
변화에	변화/NNG + 에/JKB
의해	의하/VV + 아/EC
진행될	진행/NNG + 되/XSV + ㄹ/ETM
자본조달	자본/NNG + 조달/NNG
수단의	수단/NNG + 의/JKG
전환은	전환/NNG + 은/JX
한국	한국/NNP
경제에	경제/NNG + 에/JKB
혁신적인	혁신/NNG + 적/XSN + 이/VCP + ㄴ/ETM
변화를	변화/NNG + 를/JKO
가져올	가져오/VV + ㄹ/ETM
것이다.	것/NNB + 이/VCP + 다/EF + ./SF

부채를	부채/NNG + 를/JKO
통한	통하/VV + ㄴ/ETM
자본	자본/NNG
조달은	조달/NNG + 은/JX
담보를	담보/NNG + 를/JKO
필요로	필요/NNG + 로/JKB
한다.	하/VV + ㄴ다/EF + ./SF

이	이/MM
때문에	때문/NNB + 에/JKB
자산	자산/NNG
집약적인	집약/NNG + 적/XSN + 이/VCP + ㄴ/ETM
제조업체에	제조/NNG + 업체/NNG + 에/JKB
투자가	투자/NNG + 가/JKS
집중됐고,	집중/NNG + 되/XSV + 었/EP + 고/EC + ,/SP
정부의	정부/NNG + 의/JKG
경제	경제/NNG
운용도	운용/NNG + 도/JX
이같은	이/NP + 같/VA + 은/ETM
틀에	틀/NNG + 에/JKB
입각해	입각/NNG + 하/XSV + 아/EC
있었다.	있/VX + 었/EP + 다/EF + ./SF

한국에선	한국/NNP + 에서/JKB + ㄴ/JX
또	또/MAG
자급자족	자급자족/NNP
개념이	개념/NNG + 이/JKS
강력한	강력/XR + 하/XSA + ㄴ/ETM
영향력을	영향력/NNG + 을/JKO
발휘하고	발휘/NNG + 하/XSV + 고/EC
있다.	있/VX + 다/EF + ./SF

관료들이	관료/NNG + 들/XSN + 이/JKS
산업계와	산업/NNG + 계/XSN + 와/JC
협력해	협력/NNG + 하/XSV + 아/EC
한국의	한국/NNP + 의/JKG
부가가치를	부가/NNG + 가치/NNG + 를/JKO
높이고	높이/VV + 고/EC
기술수준을	기술/NNG + 수준/NNG + 을/JKO
높이는	높이/VV + 는/ETM
산업정책을	산업/NNG + 정책/NNG + 을/JKO
통해	통하/VV + 아/EC
고성장을	고/XPN + 성장/NNG + 을/JKO
이룩했다.	이룩/XR + 하/XSV + 았/EP + 다/EF + ./SF

하지만	하지만/MAJ
한국이	한국/NNP + 이/JKS
자유화를	자유/NNG + 화/XSN + 를/JKO
일찍	일찍/MAG
시행했다면	시행/NNG + 하/XSV + 았/EP + 다면/EC
더	더/MAG
높은	높/VA + 은/ETM
수준의	수준/NNG + 의/JKG
성장을	성장/NNG + 을/JKO
더	더/MAG
빨리	빨리/MAG
달성할	달성/NNG + 하/XSV + ㄹ/ETM
